stime,station_id,lat,lon,station_id,states,RH,HPBL,TMP,goes_measurement,wind_direction,wind_speed,forest_perc,pop_density,num_vehicles,copd_heart,air_data_value_pred,air_data_value_real
2019-07-14 15:00,06-061-0003,38.93568,-121.09959,06-061-0003,California,44.9,66.53517,297.1388,0.105584145,295.88521,4.299824609,32.71,657.080463,15065827,16914,9.046626884,5
2019-08-07 14:00,11-001-0051,38.89477,-76.953426,11-001-0051,Maryland,77.3,289.6874,300.24585,0.44541875,249.7162785,1.12651687,39.36,1613.304771,1922462,9951,15.29265768,17
2019-06-19 20:00,32-510-0020,39.1447,-119.7661,32-510-0020,Nevada,21.9,1999.7583,303.20477,-0.03512742,165.0338599,4.466905642,15.89,72.778719,683020,5397,4.055973213,4
2019-07-20 20:00,48-135-1014,31.870253,-102.334756,48-135-1014,Texas,26.4,2092.5908,310.62497,0.626818,262.402138,4.228397933,37.33,287.48889,8248322,14834,9.813450176,10
2019-06-02 18:00,49-035-4002,40.662878,-111.901188,49-035-4002,Utah,46.5,742.1195,294.84634,0.8376542,133.5542748,3.81880566,34.48,101.00961,937421,12540,8.933124747,6.3
2019-07-06 22:00,06-029-0018,35.642943,-117.715066,06-029-0018,California,6.8,2641.1267,310.37247,0.30840605,256.1860756,4.632110576,32.71,657.080463,15065827,16914,4.952139027,3
2019-04-06 21:00,42-101-0075,40.054171,-74.985166,42-101-0075,Pennsylvania,46.4,1372.6467,292.47455,0.21423875,173.1916797,2.096828901,58.6,740.996139,4424183,11376,7.002436111,9.8
2019-01-03 16:00,48-323-0004,28.704607,-100.451156,48-323-0004,Texas,72.1,247.83415,278.4944,0.177327,116.4805845,5.520475378,37.33,287.48889,8248322,14834,8.403037924,12
2019-06-04 21:00,45-091-8801,34.9127,-80.8745,45-091-8801,South Carolina,44.9,1370.4038,301.73755,0.47855455,316.2841407,0.627691182,68.19,443.406288,1830186,12485,9.153277749,12
2019-03-29 16:00,35-001-0023,35.1343,-106.5852,35-001-0023,New Mexico,18.4,731.93414,288.312,0.6360652,238.6776508,3.470463312,31.99,44.806827,655766,9336,4.849124054,5.2
2019-05-16 20:00,40-115-9007,36.985702,-94.83931,40-115-9007,Oklahoma,48.9,1274.8185,303.25,0.23373492,240.9815772,6.786552156,28.8,149.442423,1296219,8506,7.524558616,8
2019-06-13 14:00,32-005-0007,38.897557,-119.732507,32-005-0007,Nevada,74.6,103.56479,289.52042,0.26741013,299.7288833,2.310392908,15.89,72.778719,683020,5397,5.147117299,5
